	UMAP1_sc	UMAP2_sc	Clusters_sc	Cell_type_img	UMAP1_CP_sc	UMAP2_CP_sc	Clusters_CP_sc	UMAP1_bimodal_sc	UMAP2_bimodal_sc	Clusters_bimodal_sc
15_19	5.539032	-1.0209297	1	Mouse	6.0856915	-3.7341206	1	-3.2232232	-1.9269434	4
15_24	1.1049267	2.2781854	0	Mouse	12.113727	-0.9359745	0	-4.962728	-0.6176189	6
15_45	12.687901	3.4486213	1	Mouse	16.621851	5.063017	0	-3.0393207	-3.611968	1
15_46	13.333238	0.5193293	1	Undetermined_cells	4.4919286	8.226369	2	-0.8417407	-3.4664438	1
15_47	2.7126834	5.855947	0	Mouse	6.4038854	0.9326062	1	-0.07211869	-0.31060252	4
15_52	13.878505	8.974539	2	Mouse	16.676313	4.974352	0	-4.388954	-2.0913193	6
15_77	8.848002	1.3689197	1	Mouse	10.991357	5.1894226	0	-4.7788997	0.7100748	6
15_79	12.504726	2.0112066	1	Mouse	12.384173	5.6787443	0	-2.1332915	-1.3787688	0
15_86	-3.994802	3.6877534	0	Human	10.498188	1.8919544	0	2.5333586	2.1906075	3
15_93	11.379459	2.419218	1	Mouse	3.996646	6.3011236	2	-3.4988458	0.6854334	0
15_106	11.809036	0.55901724	1	Mouse	7.3806195	2.1311972	2	-3.9425106	-0.25935566	6
15_108	4.8930836	-1.3366472	1	Mouse	14.153345	4.8101735	0	-2.4286907	-1.1604102	0
15_109	6.6926403	6.8434367	1	Mouse	6.2549143	-4.3137255	1	-1.6435616	-0.559557	2
15_111	11.241059	2.6683369	1	Undetermined_cells	14.857885	1.1949582	0	2.3616984	-0.5898256	4
16_0	-2.1018307	3.1843626	0	Undetermined_cells	-1.6422511	6.444799	3	2.3513198	1.9633113	3
16_19	8.159825	5.8441243	1	Mouse	10.456441	4.4288135	0	-4.1031857	-1.3745837	6
16_39	-4.029899	3.7775376	0	Human	6.722066	3.6753573	2	2.7205005	1.9223664	3
16_40	7.275711	-0.37306207	1	Mouse	11.701509	-0.3926787	0	-1.7090107	3.3244293	2
16_45	10.988178	5.371257	1	Mouse	15.153835	1.0866113	0	1.3221318	-3.1618333	1
16_46	-2.1786017	3.6906736	0	Human	6.9291067	6.7045326	2	3.3927913	2.1727536	3
16_59	1.7359412	4.251967	0	Mouse	16.30308	4.4569464	0	0.42385566	-3.677554	1
16_61	13.066145	6.9911118	2	Mouse	11.192322	4.4565616	0	-4.791761	1.722253	2
16_64	12.41357	6.1364574	2	Mouse	10.771591	-2.0850859	0	-1.2532812	2.361195	2
16_78	5.0452557	1.8313345	1	Mouse	12.787817	6.2643433	0	-4.737193	-0.25941345	6
16_82	11.394647	4.95733	1	Mouse	12.319955	5.5335293	0	9.730203	1.8613722	7
16_88	5.2463484	7.961185	0	Mouse	10.203769	-2.1222017	1	-1.0282811	-1.5692363	0
16_95	1.4080173	3.1502776	0	Mouse	3.772468	6.534185	2	-3.9848688	-1.2968515	6
16_96	4.17231	7.4960575	0	Mouse	12.089168	6.520095	0	1.3141557	0.15008591	4
17_1	4.597611	4.308723	1	Mouse	10.471467	-3.287092	0	-1.2359929	-0.13627078	0
17_15	7.211334	3.9228058	1	Mouse	8.528707	-0.030159894	0	-2.9087932	2.0068903	2
17_29	9.608131	5.0054317	1	Mouse	10.333712	-0.90882325	0	2.3414142	-0.65659684	4
17_32	7.9380984	-1.4542149	1	Mouse	7.1964602	2.691873	0	1.1296164	-1.2580782	4
17_33	14.370485	8.173105	2	Mouse	11.789856	6.8163795	0	1.9258657	-0.012348388	4
17_37	7.9807787	-0.64719105	1	Mouse	14.001951	5.542238	0	-1.458131	-1.0689938	6
17_44	12.806233	9.398644	2	Undetermined_cells	14.926374	5.9129663	0	-1.5794519	-2.0439103	1
17_61	14.985682	6.2686777	2	Mouse	8.387568	-1.9161826	1	2.9538913	-3.0480027	5
17_67	-2.7042437	2.4953399	0	Undetermined_cells	9.888144	3.105938	0	2.9008853	4.32748	3
17_68	8.173833	8.320001	2	Mouse	7.878109	-1.5863214	1	-3.7531457	-2.1479635	1
17_69	2.3583565	-0.272589	0	Human	8.009902	6.5109353	2	2.8227623	-3.4321175	5
17_70	12.203324	8.958492	2	Mouse	5.1573663	-4.4720745	1	-1.0917538	0.39753598	4
17_76	7.7119904	2.0743113	1	Mouse	12.862844	3.7616053	0	2.8497603	-0.80966127	4
17_98	4.21738	4.0690293	1	Mouse	6.9957814	-4.1857615	1	-4.1307993	0.031058978	6
17_110	5.861225	4.89624	1	Mouse	14.651451	-1.240685	0	-0.9935564	-2.313932	1
18_15	11.778755	8.3612	2	Mouse	13.522783	2.5716329	0	2.3556843	-1.0432489	4
18_24	-4.397751	2.4480817	0	Human	7.945497	-5.5751987	1	3.5820227	3.1020348	3
18_35	10.708111	8.108512	2	Mouse	14.217721	-1.6888287	0	1.2592337	0.016428279	4
18_53	3.9179466	5.615706	0	Mouse	8.62896	-3.7542667	1	1.7199817	-3.0062726	5
18_58	14.106937	5.9667597	2	Mouse	8.866737	3.0108662	0	-4.5301266	0.33287895	6
18_67	12.136446	1.770946	1	Mouse	10.615396	-4.184626	1	-1.6183184	-3.8538911	1
18_71	10.638592	3.2128437	1	Mouse	4.5099263	8.207124	2	-6.6596107	-0.99095875	6
18_82	12.418947	0.1993131	1	Mouse	8.726928	2.8369994	0	-2.8328216	-3.0907724	1
18_83	-3.436561	1.144099	0	Human	9.852191	4.2127275	0	3.0969796	4.213513	3
18_85	15.192977	3.2095392	2	Mouse	7.290351	-0.3008188	1	-4.472268	0.8904984	0
18_89	12.535056	6.2172046	2	Mouse	10.660617	2.738357	0	3.4701192	-3.8461127	5
18_97	9.311787	5.440821	1	Undetermined_cells	6.465527	-7.07404	1	0.9525258	-2.771316	1
18_108	11.065392	0.84889656	1	Mouse						
19_17	10.006397	6.187944	2	Mouse	11.745226	-0.23199287	0	-0.128493	-1.338153	0
19_19	-1.6968277	2.733892	0	Human	8.037416	6.19587	2	2.8133554	4.2102036	3
19_23	1.9114815	1.8796203	0	Mouse	9.592142	-2.0881264	0	1.879119	-0.1169552	4
19_25	4.5359564	3.4016838	1	Mouse	9.970939	4.320116	0	-1.9011976	2.5173304	2
19_35	7.3568664	1.2225425	1	Mouse	9.476778	0.8798522	0	10.427675	1.6475098	7
19_36	13.868119	7.951105	2	Mouse	10.419908	-0.26476303	0	1.8194842	-1.7529135	4
19_41	15.243403	3.9961653	2	Mouse	8.720603	-0.15463279	0	-2.9142792	-0.94524646	0
19_62	7.665552	6.126659	1	Mouse	8.131441	0.98377734	0	-2.0690415	-4.3065443	1
19_71	13.071501	4.1986146	1	Mouse	7.413618	-1.5196913	1	-2.7273836	-0.35640973	6
19_74	13.640702	1.0878005	1	Mouse	4.5996356	-3.1997974	1	3.685881	-3.323564	5
19_80	13.413013	9.102763	2	Undetermined_cells	6.4228897	-5.7653313	1	-1.2274175	-2.8305914	1
19_81	1.5879132	2.958485	0	Mouse	12.056193	2.2193298	0	-1.47251	-1.6614637	0
19_85	10.18296	7.034049	2	Mouse	10.632729	-4.155456	1	-3.1896384	3.0799832	2
19_99	4.1507454	7.3590946	0	Mouse	11.907175	3.9546301	0	-1.1163117	-1.3423537	0
19_101	-2.1855457	0.6780202	0	Human	11.957361	5.610271	0	3.9618983	2.4141767	3
19_109	7.9265018	8.833559	2	Mouse	8.924992	-4.056508	1	-1.6393027	-1.4412316	0
20_0	8.871859	5.1372247	1	Undetermined_cells	-1.7226083	6.2615137	3	0.23219767	-1.850302	0
20_10	5.501918	-1.5814542	1	Mouse	7.759797	-5.3585043	1	-3.293748	3.6095715	2
20_17	-2.6674402	2.7218316	0	Human	3.9470634	8.254853	2	3.7977648	-2.438991	5
20_33	11.409716	4.312536	1	Mouse	3.4987776	8.214215	2	0.70284384	-2.8051488	1
20_40	11.964254	1.0619837	1	Mouse	6.0297723	6.396292	2	-1.8263787	0.16682643	4
20_52	8.898499	2.930658	1	Mouse	4.671199	8.647264	2	-1.9152557	-2.515136	1
20_53	14.1127405	8.730937	2	Mouse	11.277218	3.284386	0	-2.6554246	-2.6382737	1
20_58	9.557117	-0.7553935	1	Mouse	5.3755794	-3.283583	1	-2.808084	-0.2846427	0
20_66	8.897827	5.8168025	1	Mouse	6.6624985	1.3363168	0	-3.6491482	0.8043429	0
20_67	9.1529255	1.6763788	1	Mouse	6.0970106	-4.184687	1	-0.11657747	0.6405297	4
20_77	6.6106787	8.703163	2	Mouse	9.724237	-0.7071142	0	2.5168574	-0.9222347	4
20_83	-2.1326797	1.8563569	0	Human	8.861807	1.7981862	0	3.7735732	3.325999	3
20_84	7.6131873	0.40208426	1	Mouse	5.555081	-5.261256	1	-1.8100579	2.9787183	2
20_85	12.61697	9.27992	2	Mouse	8.931788	3.329939	2	-1.8592789	-3.377031	1
20_89	6.513066	6.7942977	1	Mouse	6.400565	-2.257965	1	-4.9063215	0.3344745	6
20_91	2.5129867	4.784412	0	Mouse	13.093554	1.4537889	0	-2.1776996	-0.17228477	0
20_96	12.516313	5.921096	2	Mouse	10.775279	3.8866448	0	-0.41678497	1.2490438	4
20_99	4.007443	0.44417664	1	Mouse	12.323656	-0.5750404	0	1.0371109	-0.10913199	6
20_100	-1.8193345	2.3248637	0	Human	5.802366	5.58086	2	1.6702833	2.994933	3
20_111	9.646124	6.561781	2	Undetermined_cells	15.398419	1.2959737	0	-4.420931	0.6977287	0
21_14	7.589013	-1.6125339	1	Mouse	9.92384	-0.73617786	0	-3.0648668	-0.118457414	0
21_18	9.09502	4.4493628	1	Mouse	10.347979	6.2067714	0	1.7410684	-1.0641389	4
21_24	-4.719716	1.7560537	0	Human	7.0228763	5.302775	2	9.852294	2.4549782	7
21_25	2.3247883	3.9581246	0	Mouse	12.494597	-0.36962262	0	-3.7549345	3.3830647	2
21_32	9.481862	7.9280176	2	Mouse	13.562149	2.1293647	0	-2.9114852	-0.5581138	6
21_35	7.6056423	5.315358	1	Mouse	11.905908	4.002752	0	3.4337506	-2.957893	5
21_47	8.625243	9.587314	2	Mouse	6.628689	-3.2868145	1	-0.14724925	0.36782184	4
21_59	12.69367	5.878324	2	Mouse	6.7485967	-5.017236	1	0.38022828	0.5993006	4
21_65	5.2744765	3.6321535	1	Mouse	6.496803	-6.078744	1	-1.3993905	0.11553554	4
21_87	12.8252125	1.0343126	1	Mouse	6.9475	2.2680697	2	0.5840065	-3.6136734	1
21_98	10.410413	2.4635208	1	Mouse	8.248174	3.8880086	2	-1.9764512	-2.5763004	1
21_108	1.9991386	-0.02442304	0	Human	11.9754095	5.7222657	0	-4.02136	-2.5789425	6
22_9	6.720724	2.9564142	1	Undetermined_cells	5.7978945	9.904625	2	-1.8972114	-3.0260828	1
22_35	3.1185055	4.1581573	0	Mouse	10.848033	3.039775	0	-3.1376512	2.18405	2
22_36	-2.0563765	3.9474678	0	Human	10.99151	6.959186	0	3.8023064	3.710631	3
22_38	5.7636952	3.5050359	1	Mouse	7.565711	1.311548	0	9.849455	0.9822407	7
22_39	6.88967	4.00002	1	Mouse	9.15597	-0.41292328	0	-3.798669	-2.0643847	6
22_43	6.9201975	8.93103	2	Mouse	5.8725023	-4.5810037	1	-4.700479	1.1645066	0
22_44	5.9027357	6.371639	0	Mouse	7.5445085	-1.1077276	1	-2.271802	-0.38805822	6
22_50	5.0886483	3.3395865	1	Mouse	6.6524997	-0.9350692	1	-4.9210367	1.91319	2
22_52	6.2295074	3.2583983	1	Mouse	8.50483	-1.3582573	1	-1.2907131	-0.25558382	4
22_53	14.306123	6.264173	2	Undetermined_cells	6.061078	9.668129	2	-1.6173346	2.2350378	2
22_54	0.92498624	1.002135	0	Undetermined_cells	16.099907	1.3744583	0	1.6951842	1.731547	3
22_61	7.2616825	3.577918	1	Undetermined_cells	9.510633	-3.7428305	0	10.223781	2.2172112	7
22_81	10.3298855	3.9773438	1	Mouse	7.673232	-1.6781431	1	-3.536395	-2.214752	6
22_88	3.782684	0.5899792	1	Undetermined_cells	8.218128	-4.3117123	1	2.042918	-0.6805008	4
22_91	4.0044384	7.4606934	0	Mouse	11.556427	2.4950113	0	-2.3189297	-0.8252823	0
22_98	3.2668803	2.0110388	0	Mouse	11.475457	2.0684676	0	-2.4073236	2.764928	2
22_108	3.9753885	-0.99578303	1	Mouse	6.5844035	-4.2994695	1	-0.24419926	-1.8273774	0
23_0	14.21126	4.016437	2	Undetermined_cells	-1.8326468	6.4986787	3	-0.6986322	0.693434	4
23_1	4.190317	-0.49123818	0	Mouse	8.330309	-5.762093	1	10.335557	1.7918835	7
23_14	4.220446	0.18941873	1	Mouse	10.47554	-0.9413163	0	10.1258545	1.4706451	7
23_23	6.1697354	4.712576	1	Mouse	5.565905	-4.079109	1	-4.466993	0.08550695	6
23_24	-0.5890794	2.7243512	0	Human	5.8139477	4.797823	2	3.870991	3.9634576	3
23_43	2.7239542	0.017307214	0	Mouse	7.000639	-2.1400526	1	10.084683	1.7122601	7
23_48	10.665396	1.8260094	1	Mouse	9.295703	0.19391885	0	-2.2396119	0.95702994	0
23_49	8.843985	9.077472	2	Mouse	7.3117743	3.016711	0	-2.084696	-0.9449817	0
23_51	7.902336	3.341555	1	Mouse	13.736763	3.3695402	0	2.1542041	-4.371543	5
23_53	-4.331656	2.5669162	0	Human	5.4918046	-2.278643	1	2.8629854	2.5441964	3
23_54	-2.374667	1.789563	0	Mouse	7.6889677	-3.7293696	1	0.88792086	3.373649	3
23_77	14.91496	6.2328143	2	Mouse	14.005949	4.7504272	0	-2.6281524	1.8239664	2
23_80	15.274151	5.497871	2	Mouse	13.839205	-1.4057008	0	3.765401	-3.6799755	5
23_85	2.6016033	-0.015781414	0	Mouse	2.3866456	9.269001	2	-3.7217102	-2.8211107	1
23_90	2.0588272	1.2059782	0	Undetermined_cells						
23_95	0.7033472	1.7465261	0	Mouse	7.8729916	-3.2816002	1	-5.89794	-0.53835785	6
23_100	14.584957	8.450549	2	Undetermined_cells	15.346957	1.9250511	0	1.2363827	-1.9448076	0
23_101	10.655358	1.739434	1	Mouse	6.2432756	4.0311117	2	2.125346	-3.177272	5
23_104	6.6827607	6.505175	1	Human	4.935362	9.694579	2	-4.190207	-0.74801445	6
24_1	0.6021807	1.2686543	0	Mouse	13.946256	4.4302216	0	1.4220656	-1.9276297	1
24_37	8.752721	7.6607914	2	Mouse	7.153536	-5.5274053	1	1.5133444	-0.073022984	4
24_39	7.2987967	3.1863842	1	Mouse	13.205066	0.60124135	0	-6.4028573	-1.4252068	6
24_42	12.997272	2.360346	1	Human	8.33432	6.381175	2	-0.88321126	-0.95575666	0
24_65	10.063795	2.3465133	1	Mouse	11.980476	0.81206274	0	-4.2435865	3.4381695	2
24_68	12.975623	4.808028	1	Mouse	9.853599	5.8638864	2	-5.4519653	-0.24885392	6
24_90	12.563039	6.7133336	2	Mouse	6.560625	-5.884107	1	1.0196217	0.20115818	4
24_96	8.772632	1.6160792	1	Undetermined_cells	7.6047573	-5.281283	1	-3.3149707	2.7438939	2
25_1	-3.8976135	0.8539937	0	Human	7.301447	3.2784994	0	-6.452248	-0.49503654	6
25_4	11.381763	4.761764	1	Mouse	12.076617	0.46222964	0	1.4487236	-0.6556818	4
25_8	6.9644	0.78244114	1	Mouse	15.868167	4.4546967	0	-2.138019	-3.715352	1
25_9	5.748062	1.086345	1	Human	13.428189	3.1686418	0	0.31329155	-4.0686026	1
25_27	6.8726754	0.6588843	1	Mouse	6.266913	-1.2268527	1	-1.1753759	-3.1631722	1
25_35	1.1140035	1.009094	0	Human	6.325452	6.836951	2	-5.447249	-0.5448901	6
25_49	4.654958	3.8262284	1	Mouse	13.856042	-2.1343498	0	-2.0207746	3.3615117	2
25_57	14.066544	8.568986	2	Undetermined_cells	4.788174	9.743111	2	-0.42508295	-1.2571547	0
25_64	9.115398	7.9267178	2	Mouse	13.001792	4.9371805	0	1.2477183	-1.5363417	4
25_68	8.572352	9.403044	2	Mouse	10.897039	7.223679	0	-1.9348179	1.6472636	2
25_70	8.714578	-0.77657026	1	Mouse	10.7961	2.8150828	0	-5.7864585	-0.6330064	6
25_73	12.964368	1.3731558	1	Mouse	14.450082	-1.1643817	0	-1.3680791	0.8127339	4
25_105	3.4935071	4.258478	1	Mouse	4.8740735	7.622395	2	-4.4576197	-2.4948876	6
25_109	3.7348943	7.0447106	0	Mouse	5.712645	-3.493539	1	9.958569	1.0503224	7
26_1	6.2900295	3.6018188	1	Mouse	8.543491	-3.8865902	1	2.5849717	-2.741583	5
26_3	14.769994	2.3255262	2	Undetermined_cells	16.45034	4.261382	0	-4.9818683	1.0502565	0
26_5	13.226953	6.384112	2	Mouse	13.276052	2.2335439	0	-5.9171205	-0.8133167	6
26_6	3.4267573	3.119262	0	Mouse	8.770545	-3.8465574	1	-4.197671	0.5142135	6
26_9	2.831614	4.3321147	0	Mouse	13.743105	-0.13991614	0	-1.5133555	0.030679826	4
26_19	11.477	-0.31298923	1	Mouse	12.836223	2.5569372	0	9.675857	2.237108	7
26_42	14.509396	4.747007	2	Undetermined_cells	5.3525324	0.82114303	1	-0.11097123	1.43546	4
26_48	-0.49237004	2.7995992	0	Human	8.676526	6.5095863	2	3.177478	3.1403728	3
26_60	-4.8607845	2.5364301	0	Human	9.692445	4.612101	0	2.2652428	2.9577882	3
26_62	12.650141	3.9728174	1	Mouse	13.5329895	0.27537534	0	-2.3824859	-1.7370471	1
26_63	12.785964	0.36933684	1	Mouse	6.00974	2.8502622	2	-0.44783276	-0.22110122	4
26_75	8.300384	1.0731059	1	Mouse	13.276286	0.09279124	0	-3.426629	-0.17792729	0
26_86	4.973234	-1.2661687	1	Mouse	12.360317	3.8562436	0	-4.630828	-0.14327645	6
26_89	10.277569	8.885736	2	Mouse	11.8071575	4.4291916	0	1.8691779	-1.4217267	4
26_92	4.8126836	7.6011806	0	Mouse	6.1183496	-4.8488717	1	-4.5556397	3.2538762	2
26_100	10.419576	6.959229	2	Mouse	1.8168334	9.513647	2	0.7409823	-2.561903	1
26_101	15.110376	2.5689642	2	Undetermined_cells						
26_106	-3.6266086	1.3384535	0	Human	6.9634323	4.2437286	0	3.530569	3.6247442	3
26_109	11.569939	8.284627	2	Mouse	8.116265	2.5114987	0	1.0270447	0.09395772	4
26_111	2.9787776	0.027711233	0	Undetermined_cells	14.957057	1.7452211	0	-6.280087	-1.2498802	6
27_5	3.3225853	1.9395373	0	Mouse	8.853152	-2.9500477	1	-1.5623343	2.2383933	2
27_13	7.568641	1.156497	1	Mouse	13.932003	3.6681314	0	-0.17495123	-1.5853964	0
27_16	4.932024	4.9155254	1	Mouse	12.715031	-0.3004512	0	-2.9471176	-1.1295421	0
27_29	1.786962	1.3476744	0	Mouse	14.462981	4.478975	0	10.076534	1.7332081	7
27_36	6.085851	4.215442	1	Mouse	9.319228	-5.073918	1	-1.1368401	-0.5599137	4
27_40	9.7743845	2.8231022	1	Mouse	5.087062	6.166891	2	-1.0711471	0.99965274	4
27_55	13.539201	8.607997	2	Mouse	4.0147247	8.670755	2	-6.630241	-1.4913911	6
27_77	10.010738	1.8117615	1	Mouse	11.012521	4.6063485	0	-2.9165194	-2.2427957	1
27_79	13.341069	0.56834704	1	Mouse	10.702799	-2.5867803	0	-0.877481	1.2310104	6
27_82	12.239386	0.14065884	1	Mouse	9.956743	4.751747	0	-0.9996632	-2.7528832	1
27_89	13.623365	7.9508185	2	Undetermined_cells	14.612168	2.26716	0	-2.5601094	-3.9504635	1
27_96	6.136205	3.6596854	1	Mouse	6.429567	-3.9961433	1	-2.5528867	1.3668551	4
27_111	2.3134801	1.4653202	0	Undetermined_cells	15.301632	1.2858407	0	-2.7658088	0.44146106	0
28_1	-3.0759597	2.158239	0	Human	10.530501	3.384928	0	3.0308425	-2.2349029	5
28_2	-4.6934686	2.6481514	0	Human	7.5311155	-0.3420988	1	3.1874418	2.7333589	3
28_7	5.735067	3.3571782	1	Undetermined_cells	12.371903	1.9603808	0	-3.4271557	3.1748536	2
28_14	4.101653	4.442313	1	Mouse	10.495215	-4.4019322	1	-0.62053996	1.1713634	4
28_17	3.193488	0.52624375	0	Mouse	4.8026624	-3.1282706	1	1.2341723	-0.6568475	0
28_20	11.27609	8.315495	2	Mouse	13.088502	3.0621955	0	-4.1068172	1.0503589	0
28_24	10.02915	0.45091093	1	Mouse	12.656504	1.8475428	0	-5.290247	-2.20622	6
28_36	-3.7813435	3.8565602	0	Human	11.234161	6.9006734	0	2.844987	3.7987642	3
28_39	-1.7345068	1.4134549	0	Human	4.1787825	8.894831	2	2.5876331	3.4064784	3
28_43	7.0491567	-0.39131653	1	Mouse	6.2598143	-0.7135266	1	3.614129	-3.5158556	5
28_44	12.137217	-0.053351507	1	Mouse	2.4785144	9.352438	2	-2.3900476	2.1091394	2
28_55	8.410394	9.085936	2	Mouse	6.106712	0.9201309	1	-4.551686	-1.8274746	6
28_83	-2.5068972	0.6338846	0	Human	5.305627	7.1258154	2	2.0119994	2.9669497	3
28_99	14.114226	1.5531769	1	Undetermined_cells	16.242407	4.800611	0	-3.0529335	2.932483	2
28_101	12.368385	4.1131525	1	Mouse	7.433428	-3.2862399	1	3.249596	-3.179018	5
29_4	9.6781845	-0.09732829	1	Mouse	12.564763	4.872419	0	-3.4731016	0.88296926	1
29_7	7.899799	9.213015	2	Mouse	14.662427	5.605367	0	2.1291072	0.045281153	4
29_13	7.172487	2.6000066	1	Mouse	13.156518	5.8156443	0	-1.5590827	-2.5030773	1
29_16	4.5530005	2.2426825	1	Mouse	7.5077577	3.5738876	0	-1.572749	-2.3564672	1
29_32	12.479937	2.5387776	1	Mouse	6.515054	0.38256013	1	-1.9287642	-2.0064015	1
29_58	6.1563873	2.458532	1	Mouse	6.5976853	-7.3939066	1	0.33498663	0.47550616	4
29_63	9.158574	3.6554768	1	Mouse	7.8520017	-3.6086805	1	0.026153335	-3.4127545	1
29_86	8.146216	5.4346337	1	Mouse	14.898086	0.45962182	0	3.1321476	-3.4944797	5
29_96	-0.27894315	2.4865274	0	Human	5.792136	2.3786263	2	3.6246998	1.8100306	3
29_99	14.557069	7.806201	2	Mouse	-1.6175966	6.181599	3	-1.9803303	1.6142321	2
29_107	11.371915	3.647857	1	Mouse	-1.2493743	7.0696864	3	-2.7406914	-0.3581494	0
29_110	9.631863	6.272131	2	Mouse	-1.8335842	7.078784	3	-0.45073926	2.5502956	2
29_111	9.07753	1.9875637	1	Undetermined_cells	15.06323	5.271951	0	-2.7748833	-4.3077683	1
30_6	12.900674	5.623863	2	Mouse	14.091219	-2.0296388	0	-3.2755582	-2.517233	1
30_14	7.9363194	8.990517	2	Mouse	12.046585	-0.055875126	0	-3.2508464	-1.1719197	0
30_18	7.2131715	3.4527938	1	Mouse	11.372176	-1.3703128	0	0.30213168	0.9997601	4
