	H_UMIs_cage	M_UMIs_cage	Cell_type_img
0_2	24	138	Undetermined_cells
0_4	169	35	Human
0_11	21	425	Mouse
0_14	31	402	Mouse
0_18	120	16	Human
0_20	5	582	Mouse
0_21	32	287	Mouse
0_22	6	317	Mouse
0_25	4	388	Mouse
0_40	6	183	Mouse
0_41	91	17	Undetermined_cells
0_57	6	281	Mouse
0_86	3	357	Mouse
0_87	27	398	Mouse
0_96	8	153	Mouse
0_101	0	421	Mouse
0_102	72	401	Mouse
0_110	0	193	Mouse
1_1	4	305	Mouse
1_3	9	266	Mouse
1_4	29	638	Mouse
1_16	8	160	Mouse
1_19	4	72	Mouse
1_35	152	6	Human
1_38	6	160	Mouse
1_41	41	7	Human
1_43	113	8	Human
1_50	3	141	Mouse
1_56	5	156	Mouse
1_72	4	187	Mouse
1_73	8	96	Mouse
1_87	25	158	Mouse
1_103	8	137	Mouse
1_104	6	246	Mouse
1_111	80	15	Human
2_1	115	579	Undetermined_cells
2_6	47	299	Mouse
2_22	7	167	Mouse
2_26	8	149	Mouse
2_36	9	144	Mouse
2_39	5	120	Mouse
2_43	11	120	Mouse
2_46	0	101	Mouse
2_47	0	7	Undetermined_cells
2_60	3	254	Mouse
2_61	3	129	Mouse
2_64	51	214	Mouse
2_73	3	22	Human
2_84	243	11	Human
2_93	85	13	Human
2_98	8	71	Mouse
2_101	6	201	Human
2_110	55	276	Human
3_1	6	288	Undetermined_cells
3_4	12	684	Mouse
3_10	95	14	Human
3_22	75	8	Human
3_28	3	92	Mouse
3_41	53	7	Human
3_43	0	40	Mouse
3_44	1	15	Human
3_46	1	15	Human
3_62	139	16	Human
3_63	4	172	Mouse
3_66	2	152	Mouse
3_68	7	260	Mouse
3_75	5	172	Mouse
3_81	9	69	Undetermined_cells
3_86	3	182	Mouse
3_93	4	254	Mouse
3_95	11	269	Mouse
3_102	113	9	Human
3_112	8	162	Mouse
4_8	2	122	Mouse
4_16	9	358	Mouse
4_23	47	274	Mouse
4_28	2	178	Mouse
4_36	5	102	Mouse
4_74	3	270	Mouse
4_86	116	4	Human
4_97	7	98	Mouse
4_107	2	409	Mouse
4_111	2	226	Mouse
5_3	3	385	Mouse
5_4	21	407	Mouse
5_10	1	185	Mouse
5_12	106	10	Human
5_13	45	268	Mouse
5_28	199	9	Human
5_34	183	14	Human
5_37	60	6	Undetermined_cells
5_42	20	182	Mouse
5_51	1	172	Mouse
5_56	48	346	Mouse
5_62	4	324	Mouse
5_71	6	204	Mouse
5_86	16	142	Mouse
5_96	104	12	Human
5_100	0	235	Mouse
5_103	0	427	Mouse
5_109	61	12	Human
6_5	2	34	Undetermined_cells
6_42	2	129	Mouse
6_45	47	227	Mouse
6_54	0	133	Mouse
6_72	3	233	Mouse
6_81	2	413	Mouse
6_84	2	330	Mouse
6_91	15	223	Mouse
6_96	8	190	Mouse
6_99	3	177	Mouse
6_100	174	12	Human
6_103	3	241	Mouse
6_107	75	17	Human
6_111	89	2	Undetermined_cells
7_10	10	429	Mouse
7_25	9	178	Mouse
7_27	74	19	Human
7_28	4	152	Mouse
7_37	0	179	Mouse
7_57	2	109	Mouse
7_79	3	13	Mouse
7_89	6	232	Mouse
7_93	0	141	Mouse
7_97	0	727	Mouse
7_98	9	419	Mouse
7_99	84	9	Human
7_110	5	303	Mouse
8_11	27	377	Mouse
8_23	18	112	Mouse
8_27	5	91	Mouse
8_31	59	255	Mouse
8_43	87	19	Human
8_44	1	190	Mouse
8_47	6	260	Mouse
8_51	79	6	Human
8_53	0	106	Mouse
8_62	3	163	Mouse
8_65	91	5	Human
8_77	161	8	Human
8_80	24	3	Human
8_90	5	154	Mouse
8_97	9	214	Mouse
8_100	4	400	Mouse
9_10	30	282	Mouse
9_13	3	204	Mouse
9_29	106	27	Human
9_30	4	208	Mouse
9_33	3	93	Mouse
9_38	0	139	Mouse
9_39	1	170	Mouse
9_66	3	120	Mouse
9_76	2	256	Mouse
9_86	116	8	Human
9_87	80	10	Human
9_89	79	16	Human
9_95	12	125	Mouse
9_102	37	201	Mouse
10_1	25	298	Mouse
10_10	4	171	Mouse
10_15	225	32	Human
10_20	6	104	Mouse
10_21	3	131	Mouse
10_53	8	148	Mouse
10_62	6	240	Mouse
10_63	10	213	Mouse
10_75	155	8	Human
10_94	4	147	Mouse
10_98	38	262	Mouse
10_99	147	8	Human
10_108	23	94	Mouse
11_8	12	337	Mouse
11_16	19	133	Mouse
11_59	119	15	Human
11_60	2	69	Mouse
11_68	17	133	Mouse
11_95	3	424	Mouse
11_105	8	312	Mouse
11_109	7	190	Mouse
11_110	61	6	Human
12_5	38	942	Mouse
12_7	27	546	Mouse
12_8	113	20	Human
12_12	1	264	Mouse
12_13	2	416	Mouse
12_19	61	539	Mouse
12_26	8	87	Mouse
12_35	2	11	Human
12_39	2	166	Mouse
12_41	19	211	Mouse
12_45	3	27	Undetermined_cells
12_49	0	158	Mouse
12_52	68	11	Human
12_55	5	206	Mouse
12_62	1	208	Human
12_71	8	340	Mouse
12_73	7	378	Mouse
12_93	16	64	Mouse
12_100	1	242	Mouse
12_106	2	243	Mouse
12_108	78	10	Human
13_1	29	258	Undetermined_cells
13_12	3	41	Undetermined_cells
13_13	10	292	Mouse
13_22	23	212	Mouse
13_23	26	266	Mouse
13_33	12	216	Mouse
13_41	15	98	Mouse
13_46	4	162	Mouse
13_69	8	143	Mouse
13_86	17	305	Mouse
13_88	9	192	Mouse
13_92	3	152	Mouse
13_100	5	146	Mouse
13_104	60	11	Human
13_111	1	186	Undetermined_cells
14_3	0	26	Undetermined_cells
14_10	126	7	Human
14_17	10	49	Human
14_18	8	393	Mouse
14_26	127	31	Human
14_31	10	126	Mouse
14_35	99	21	Human
14_40	3	170	Mouse
14_46	104	22	Human
14_47	22	128	Mouse
14_58	10	443	Mouse
14_59	9	113	Mouse
14_62	3	290	Mouse
14_63	4	221	Mouse
14_64	3	194	Mouse
14_68	25	212	Mouse
14_76	2	162	Mouse
14_77	9	215	Mouse
14_79	126	542	Mouse
14_90	2	126	Mouse
14_97	5	241	Mouse
14_107	9	106	Undetermined_cells
14_108	4	176	Mouse
14_109	6	137	Mouse
14_110	1	660	Mouse
15_2	74	334	Mouse
15_5	10	579	Mouse
15_14	105	21	Human
15_16	14	143	Mouse
15_19	12	166	Mouse
15_24	80	401	Mouse
15_29	62	9	Human
15_45	3	230	Mouse
15_46	5	158	Undetermined_cells
15_47	28	237	Mouse
15_52	1	91	Mouse
15_77	25	171	Mouse
15_79	12	111	Mouse
15_86	129	23	Human
15_93	1	279	Mouse
15_106	5	240	Mouse
15_108	16	66	Mouse
15_109	22	232	Mouse
15_111	5	203	Undetermined_cells
16_0	204	41	Undetermined_cells
16_19	26	294	Mouse
16_24	75	12	Human
16_28	102	13	Human
16_39	190	20	Human
16_40	14	303	Mouse
16_45	1	183	Mouse
16_46	74	16	Human
16_59	48	393	Mouse
16_61	2	173	Mouse
16_64	2	182	Mouse
16_78	18	249	Mouse
16_82	3	234	Mouse
16_88	10	186	Mouse
16_95	55	313	Mouse
16_96	20	197	Mouse
17_1	2	517	Mouse
17_15	2	331	Mouse
17_29	0	264	Mouse
17_32	2	167	Mouse
17_33	3	112	Mouse
17_37	27	145	Mouse
17_44	5	34	Undetermined_cells
17_51	84	8	Human
17_61	1	31	Mouse
17_67	113	28	Undetermined_cells
17_68	0	190	Mouse
17_69	32	155	Human
17_70	4	121	Mouse
17_76	11	129	Mouse
17_98	8	305	Mouse
17_110	4	346	Mouse
18_15	5	195	Mouse
18_24	148	21	Human
18_35	6	280	Mouse
18_53	29	387	Mouse
18_58	2	131	Mouse
18_67	0	176	Mouse
18_71	5	145	Mouse
18_82	2	133	Mouse
18_83	89	7	Human
18_85	3	27	Mouse
18_89	2	132	Mouse
18_97	5	278	Undetermined_cells
18_108	18	186	Mouse
19_17	6	213	Mouse
19_19	109	13	Human
19_23	57	277	Mouse
19_25	16	165	Mouse
19_35	3	201	Mouse
19_36	0	157	Mouse
19_41	1	53	Mouse
19_62	7	157	Mouse
19_71	0	138	Mouse
19_74	4	115	Mouse
19_80	10	51	Undetermined_cells
19_81	31	190	Mouse
19_85	2	179	Mouse
19_99	17	432	Mouse
19_101	83	19	Human
19_109	2	369	Mouse
19_112	150	15	Undetermined_cells
20_0	16	129	Undetermined_cells
20_10	25	375	Mouse
20_17	138	28	Human
20_33	7	185	Mouse
20_40	2	244	Mouse
20_52	8	287	Mouse
20_53	2	101	Mouse
20_58	13	137	Mouse
20_66	1	289	Mouse
20_67	5	236	Mouse
20_77	3	283	Mouse
20_83	150	26	Human
20_84	5	233	Mouse
20_85	2	186	Mouse
20_89	4	154	Mouse
20_91	21	228	Mouse
20_96	7	204	Mouse
20_99	5	483	Mouse
20_100	131	30	Human
20_111	7	214	Undetermined_cells
21_14	18	254	Mouse
21_18	4	196	Mouse
21_24	144	27	Human
21_25	15	120	Mouse
21_32	9	260	Mouse
21_35	6	201	Mouse
21_47	10	81	Mouse
21_59	5	155	Mouse
21_65	10	443	Mouse
21_87	1	205	Mouse
21_98	13	139	Mouse
21_108	48	200	Human
22_9	14	398	Undetermined_cells
22_35	12	658	Mouse
22_36	122	20	Human
22_38	11	225	Mouse
22_39	32	165	Mouse
22_43	5	280	Mouse
22_44	4	377	Mouse
22_50	0	550	Mouse
22_52	7	390	Mouse
22_53	1	83	Undetermined_cells
22_54	55	7	Undetermined_cells
22_61	14	141	Undetermined_cells
22_81	3	265	Mouse
22_88	13	272	Undetermined_cells
22_91	15	166	Mouse
22_97	115	16	Human
22_98	60	284	Mouse
22_108	9	326	Mouse
23_0	3	25	Undetermined_cells
23_1	14	1271	Mouse
23_14	24	357	Mouse
23_23	15	257	Mouse
23_24	97	18	Human
23_43	89	480	Mouse
23_48	4	192	Mouse
23_49	4	309	Mouse
23_51	2	243	Mouse
23_53	215	34	Human
23_54	119	7	Mouse
23_77	1	36	Mouse
23_80	0	42	Mouse
23_85	28	352	Mouse
23_90	51	247	Undetermined_cells
23_95	74	523	Mouse
23_100	5	42	Undetermined_cells
23_101	8	129	Mouse
23_104	10	60	Human
24_1	44	219	Mouse
24_3	130	23	Human
24_37	5	269	Mouse
24_39	4	255	Mouse
24_42	8	60	Human
24_65	5	311	Mouse
24_68	6	105	Mouse
24_73	109	24	Human
24_90	12	181	Mouse
24_96	3	263	Undetermined_cells
24_103	105	21	Human
25_1	202	31	Human
25_4	8	226	Mouse
25_8	6	243	Mouse
25_9	5	558	Human
25_27	29	253	Mouse
25_35	69	358	Human
25_36	186	28	Human
25_49	34	272	Mouse
25_57	3	17	Undetermined_cells
25_64	10	255	Mouse
25_68	8	283	Mouse
25_70	5	279	Mouse
25_73	2	127	Mouse
25_75	59	12	Human
25_105	10	173	Mouse
25_109	15	217	Mouse
26_1	13	251	Mouse
26_3	7	34	Undetermined_cells
26_5	2	198	Mouse
26_6	19	716	Mouse
26_9	16	328	Mouse
26_19	3	233	Mouse
26_42	2	28	Undetermined_cells
26_48	54	12	Human
26_60	235	3	Human
26_62	6	172	Mouse
26_63	1	173	Mouse
26_75	4	199	Mouse
26_82	108	10	Human
26_86	18	96	Mouse
26_89	1	136	Mouse
26_92	16	177	Mouse
26_100	4	175	Mouse
26_101	2	43	Undetermined_cells
26_106	124	26	Human
26_109	4	176	Mouse
26_111	58	419	Undetermined_cells
27_5	28	687	Mouse
27_13	10	281	Mouse
27_16	6	535	Mouse
27_29	32	256	Mouse
27_36	4	252	Mouse
27_40	3	108	Mouse
27_55	4	154	Mouse
27_77	8	159	Mouse
27_79	3	133	Mouse
27_82	8	134	Mouse
27_89	8	42	Undetermined_cells
27_96	1	604	Mouse
27_111	20	271	Undetermined_cells
28_1	104	19	Human
28_2	371	37	Human
28_7	31	177	Undetermined_cells
28_14	20	189	Mouse
28_17	50	544	Mouse
28_20	8	149	Mouse
28_24	8	205	Mouse
28_34	70	10	Human
28_36	194	28	Human
28_39	93	16	Human
28_43	9	344	Mouse
28_44	6	239	Mouse
28_55	0	426	Mouse
28_83	58	7	Human
28_99	2	22	Undetermined_cells
28_101	2	150	Mouse
29_4	3	254	Mouse
29_7	9	160	Mouse
29_13	2	398	Mouse
29_16	29	483	Mouse
29_32	13	235	Mouse
29_58	1	534	Mouse
29_63	1	301	Mouse
29_86	2	249	Mouse
29_96	76	10	Human
29_99	1	122	Mouse
29_103	148	18	Human
29_107	1	269	Mouse
29_110	0	226	Mouse
29_111	2	469	Undetermined_cells
30_6	0	273	Mouse
30_14	11	132	Mouse
30_18	3	321	Mouse
30_20	7	159	Mouse
30_41	21	234	Mouse
30_45	139	15	Human
30_55	41	5	Human
30_56	11	325	Mouse
30_60	13	3	Undetermined_cells
30_62	99	9	Human
30_68	4	125	Mouse
30_73	4	253	Mouse
30_74	3	47	Mouse
30_76	6	205	Mouse
30_80	27	115	Mouse
30_82	19	131	Mouse
30_86	3	258	Mouse
30_91	4	154	Mouse
30_92	7	221	Mouse
30_96	1	115	Mouse
30_99	2	220	Mouse
30_100	86	17	Human
30_103	153	20	Human
30_104	5	196	Mouse
30_105	0	82	Mouse
31_5	8	36	Human
31_6	4	265	Mouse
31_12	7	276	Mouse
31_33	9	194	Mouse
31_34	117	19	Human
31_41	5	459	Mouse
31_56	1	295	Mouse
31_59	1	314	Mouse
31_60	22	315	Mouse
31_68	34	309	Mouse
31_72	11	301	Mouse
31_82	5	136	Mouse
31_91	17	256	Mouse
31_94	5	289	Mouse
31_101	2	22	Undetermined_cells
31_109	3	170	Mouse
31_111	1	312	Undetermined_cells
32_5	25	511	Mouse
32_11	146	37	Human
32_26	15	204	Mouse
32_46	5	128	Mouse
32_47	13	161	Mouse
32_51	107	519	Mouse
32_53	91	10	Human
32_56	2	252	Mouse
32_62	13	118	Mouse
32_65	3	232	Mouse
32_69	2	202	Mouse
32_74	18	296	Mouse
32_77	85	14	Human
32_79	143	17	Human
32_87	163	19	Human
32_93	0	140	Mouse
32_94	62	15	Human
32_95	1	8	Human
32_100	2	142	Mouse
32_101	0	280	Mouse
32_103	0	161	Mouse
32_110	16	346	Mouse
32_111	4	261	Mouse
33_12	13	373	Mouse
33_23	9	38	Mouse
33_27	87	489	Mouse
33_30	3	209	Mouse
33_39	7	215	Mouse
33_41	0	26	Undetermined_cells
33_42	11	239	Mouse
33_48	16	302	Mouse
33_53	9	128	Mouse
33_59	120	4	Human
33_65	5	153	Mouse
33_66	7	156	Mouse
33_77	0	117	Mouse
33_80	1	287	Mouse
33_81	8	152	Mouse
33_83	57	1	Human
33_84	118	11	Human
33_97	5	260	Mouse
33_98	61	13	Human
33_100	2	80	Mouse
33_106	24	185	Mouse
33_108	3	17	Mouse
33_110	56	11	Human
33_111	5	207	Undetermined_cells
33_112	145	7	Undetermined_cells
34_9	4	248	Mouse
34_10	9	189	Mouse
34_19	13	371	Mouse
34_20	88	399	Mouse
34_42	20	125	Undetermined_cells
34_44	5	404	Mouse
34_50	16	409	Mouse
34_56	137	24	Mouse
34_62	3	203	Mouse
34_70	69	13	Human
34_75	16	140	Mouse
34_84	7	81	Mouse
34_85	76	11	Human
34_87	2	156	Mouse
34_89	15	172	Mouse
34_90	6	157	Mouse
34_95	205	20	Human
34_109	16	160	Mouse
35_2	2	136	Mouse
35_6	0	556	Mouse
35_22	6	116	Mouse
35_25	10	183	Undetermined_cells
35_26	10	571	Undetermined_cells
35_29	3	50	Mouse
35_49	15	248	Mouse
35_53	4	156	Mouse
35_58	7	46	Human
35_62	45	196	Human
35_65	23	116	Mouse
35_67	13	65	Mouse
35_71	5	138	Mouse
35_81	5	196	Mouse
35_87	17	226	Mouse
35_91	0	102	Mouse
35_92	34	184	Mouse
35_94	1	93	Mouse
35_99	3	222	Mouse
36_2	10	245	Mouse
36_20	180	42	Human
36_25	36	345	Mouse
36_32	16	310	Mouse
36_65	4	216	Mouse
36_67	79	10	Human
36_68	3	195	Mouse
36_69	2	224	Mouse
36_77	2	122	Mouse
36_78	2	276	Mouse
36_88	108	11	Human
36_98	1	202	Mouse
36_101	14	138	Mouse
36_107	13	74	Mouse
36_109	3	277	Mouse
37_2	15	275	Mouse
37_6	58	354	Mouse
37_8	4	206	Mouse
37_11	10	207	Mouse
37_13	27	613	Mouse
37_16	34	277	Mouse
37_17	235	46	Human
37_25	10	49	Human
37_29	66	17	Human
37_36	5	275	Mouse
37_39	9	92	Mouse
37_42	85	6	Human
37_48	2	269	Mouse
37_49	5	280	Mouse
37_55	9	279	Mouse
37_59	6	252	Mouse
37_64	1	131	Mouse
37_66	0	141	Mouse
37_67	1	249	Mouse
37_79	2	166	Mouse
37_109	0	363	Mouse
37_111	30	155	Undetermined_cells
38_2	0	317	Mouse
38_8	1	344	Mouse
38_23	67	319	Mouse
38_26	20	267	Mouse
38_29	6	27	Mouse
38_31	8	464	Mouse
38_34	16	362	Mouse
38_47	153	12	Human
38_50	7	367	Mouse
38_56	64	9	Human
38_57	12	132	Mouse
38_59	14	200	Mouse
38_61	27	203	Mouse
38_64	2	189	Mouse
38_74	5	180	Mouse
38_86	17	4	Human
38_90	7	2	Undetermined_cells
38_93	4	127	Mouse
38_106	1	143	Undetermined_cells
38_112	52	9	Human
39_3	4	187	Mouse
39_6	71	309	Mouse
39_21	12	352	Mouse
39_25	17	200	Mouse
39_26	19	191	Mouse
39_35	53	263	Mouse
39_37	15	155	Mouse
39_39	15	178	Mouse
39_43	4	213	Mouse
39_44	9	104	Mouse
39_47	113	6	Human
39_63	1	42	Mouse
39_64	1	89	Mouse
39_68	9	58	Mouse
39_75	76	4	Human
39_86	14	81	Mouse
39_89	2	90	Mouse
39_93	41	8	Human
39_94	60	5	Human
39_100	15	148	Mouse
39_111	11	129	Undetermined_cells
40_6	19	384	Mouse
40_12	38	255	Mouse
40_13	11	555	Mouse
40_17	1	447	Mouse
40_24	179	12	Human
40_35	3	373	Mouse
40_40	11	218	Mouse
40_46	14	226	Mouse
40_53	10	316	Mouse
40_55	2	222	Mouse
40_58	15	146	Mouse
40_60	2	211	Mouse
40_63	9	168	Mouse
40_73	6	118	Mouse
40_75	2	196	Mouse
40_77	3	110	Mouse
40_80	2	156	Mouse
40_81	8	91	Undetermined_cells
40_86	51	8	Human
40_87	5	22	Mouse
40_88	41	219	Mouse
40_98	7	175	Mouse
40_103	78	9	Human
40_108	54	10	Human
40_110	67	7	Human
41_2	33	171	Undetermined_cells
41_24	11	254	Mouse
41_32	12	176	Mouse
41_36	5	334	Mouse
41_42	0	195	Mouse
41_47	190	11	Human
41_59	6	265	Mouse
41_66	2	149	Mouse
41_69	58	3	Human
41_77	0	143	Mouse
41_83	2	109	Mouse
41_85	29	126	Mouse
41_87	11	189	Mouse
41_94	2	228	Mouse
42_2	14	396	Mouse
42_4	22	454	Mouse
42_5	5	307	Mouse
42_6	7	381	Mouse
42_13	7	275	Mouse
42_17	11	512	Mouse
42_26	14	272	Mouse
42_31	12	204	Mouse
42_41	15	305	Mouse
42_55	15	220	Mouse
42_60	191	24	Human
42_65	108	20	Human
42_67	14	114	Mouse
42_72	13	250	Mouse
42_79	4	189	Mouse
42_84	9	190	Mouse
42_87	0	268	Mouse
42_88	0	133	Mouse
42_94	8	143	Mouse
42_102	1	109	Mouse
42_103	3	334	Mouse
42_108	1	181	Mouse
43_9	2	155	Mouse
43_12	1	386	Mouse
43_21	15	155	Mouse
43_34	16	175	Mouse
43_44	71	12	Human
43_45	7	34	Undetermined_cells
43_46	1	276	Mouse
43_61	15	200	Mouse
43_64	4	134	Mouse
43_80	7	159	Mouse
43_81	3	167	Mouse
43_84	9	93	Mouse
43_89	1	98	Mouse
43_94	6	164	Mouse
43_100	2	296	Mouse
43_105	3	175	Mouse
43_109	2	339	Mouse
43_110	1	297	Mouse
44_7	12	372	Mouse
44_9	23	276	Mouse
44_26	51	11	Undetermined_cells
44_28	41	238	Mouse
44_37	22	199	Mouse
44_38	12	128	Mouse
44_46	20	214	Mouse
44_57	29	313	Mouse
44_61	113	10	Human
44_69	7	353	Mouse
44_71	7	146	Mouse
44_73	16	193	Mouse
44_74	56	13	Human
44_80	0	158	Mouse
44_90	70	12	Human
44_93	2	218	Mouse
45_15	13	735	Mouse
45_18	14	614	Mouse
45_27	32	282	Mouse
45_30	12	389	Mouse
45_37	18	193	Human
45_43	4	344	Mouse
45_48	127	18	Human
45_55	4	290	Mouse
45_59	14	168	Mouse
45_68	14	142	Mouse
45_80	22	249	Mouse
45_87	2	276	Mouse
45_99	3	355	Mouse
45_101	20	109	Mouse
45_106	82	9	Human
45_109	33	217	Mouse
45_111	2	138	Undetermined_cells
46_5	13	442	Mouse
46_9	10	272	Mouse
46_12	108	18	Human
46_15	13	248	Mouse
46_21	5	380	Mouse
46_25	10	683	Mouse
46_27	150	30	Human
46_41	91	15	Undetermined_cells
46_43	130	19	Human
46_44	110	16	Human
46_59	8	241	Mouse
46_65	107	15	Human
46_69	2	340	Mouse
46_74	1	195	Undetermined_cells
46_95	98	9	Human
46_102	15	236	Mouse
47_4	20	297	Mouse
47_8	118	11	Human
47_27	13	371	Mouse
47_31	2	122	Mouse
47_33	19	183	Mouse
47_45	7	207	Mouse
47_49	4	191	Mouse
47_51	3	310	Mouse
47_55	1	121	Mouse
47_65	2	56	Mouse
47_66	1	540	Mouse
47_74	4	196	Mouse
47_77	2	201	Mouse
47_80	10	204	Mouse
47_82	4	144	Mouse
47_87	6	165	Mouse
47_101	21	164	Mouse
47_105	5	175	Mouse
47_109	62	9	Human
47_110	3	34	Undetermined_cells
48_12	7	391	Mouse
48_30	4	348	Mouse
48_31	19	206	Mouse
48_36	5	243	Mouse
48_39	68	4	Human
48_60	9	228	Mouse
48_61	108	10	Human
48_63	5	234	Mouse
48_65	19	356	Mouse
48_74	2	197	Mouse
48_80	61	6	Human
48_81	61	11	Human
48_85	4	267	Mouse
48_91	7	210	Mouse
48_93	64	476	Undetermined_cells
48_94	8	153	Mouse
48_97	9	214	Mouse
48_109	1	28	Mouse
48_110	5	262	Mouse
49_39	100	19	Human
49_40	16	326	Mouse
49_42	107	15	Human
49_54	7	140	Mouse
49_79	111	27	Human
49_81	1	141	Mouse
49_88	7	235	Mouse
49_90	1	217	Mouse
49_91	9	175	Mouse
49_106	10	235	Mouse
49_108	98	18	Human
49_109	8	221	Mouse
49_112	80	8	Human
50_5	2	348	Mouse
50_13	23	397	Mouse
50_25	8	537	Mouse
50_28	10	240	Mouse
50_31	4	265	Mouse
50_32	9	348	Mouse
50_43	133	19	Human
50_51	1	127	Undetermined_cells
50_52	106	20	Human
50_59	1	32	Undetermined_cells
50_63	0	429	Mouse
50_70	67	280	Mouse
50_72	14	643	Mouse
50_74	119	14	Human
50_76	3	278	Mouse
50_83	12	189	Mouse
50_85	3	190	Mouse
50_89	11	257	Mouse
50_97	5	150	Undetermined_cells
50_99	6	270	Mouse
50_100	1	137	Mouse
51_2	2	658	Mouse
51_6	17	171	Mouse
51_7	42	559	Mouse
51_11	73	723	Mouse
51_25	7	163	Mouse
51_31	35	301	Mouse
51_41	257	38	Human
51_58	1	219	Mouse
51_62	97	10	Human
51_76	2	298	Mouse
51_95	16	167	Mouse
51_96	3	376	Mouse
51_102	19	234	Mouse
52_4	2	299	Mouse
52_6	42	775	Mouse
52_16	54	421	Mouse
52_20	14	476	Mouse
52_39	1	718	Mouse
52_40	4	321	Undetermined_cells
52_41	24	320	Mouse
52_43	8	450	Mouse
52_54	12	477	Mouse
52_60	13	378	Mouse
52_71	5	158	Mouse
52_73	82	455	Human
52_79	54	498	Mouse
52_81	95	8	Human
52_83	9	89	Mouse
52_103	1	152	Mouse
52_104	2	123	Mouse
52_106	12	273	Mouse
52_108	133	26	Human
53_12	14	364	Mouse
53_26	8	337	Mouse
53_34	123	27	Human
53_43	18	161	Mouse
53_65	21	254	Mouse
53_67	171	13	Human
53_68	2	167	Mouse
53_74	2	420	Mouse
53_79	9	213	Mouse
53_80	97	15	Human
53_83	3	115	Mouse
53_88	73	16	Human
53_92	3	222	Mouse
53_94	74	12	Human
53_99	30	207	Mouse
53_105	9	201	Mouse
53_106	110	5	Human
53_112	85	4	Human
53_113	103	2	Undetermined_cells
54_6	160	26	Human
54_22	293	16	Undetermined_cells
54_27	5	945	Mouse
54_32	10	431	Mouse
54_34	201	27	Human
54_40	10	221	Mouse
54_45	5	334	Mouse
54_46	5	320	Mouse
54_58	0	278	Undetermined_cells
54_81	69	333	Mouse
54_88	116	28	Human
54_96	4	151	Mouse
54_101	6	312	Mouse
54_111	3	147	Undetermined_cells
55_11	17	267	Mouse
55_59	38	187	Mouse
55_69	16	161	Mouse
55_79	10	138	Mouse
55_88	9	164	Undetermined_cells
55_93	25	179	Mouse
55_109	18	101	Mouse
